Make,Model,Total.Injuries
CESSNA,402B,16.0
CESSNA,402C,12.0
CESSNA,404,1.0
CESSNA,414,20.0
CESSNA,414A,21.0
CESSNA,421,17.0
CESSNA,421 - C,4.0
CESSNA,421A,0.0
CESSNA,421B,32.0
CESSNA,421C,47.0
CESSNA,425,10.0
CESSNA,441,17.0
CESSNA,500,10.0
CESSNA,501,21.0
CESSNA,510,1.0
CESSNA,525,24.0
CESSNA,525A,6.0
CESSNA,525B,2.0
CESSNA,525C,0.0
CESSNA,550,21.0
CESSNA,550B,2.0
CESSNA,551,5.0
CESSNA,560,9.0
CESSNA,560 - XL,0.0
CESSNA,560XL,7.0
CESSNA,650,7.0
CESSNA,680,1.0
CESSNA,750,5.0
CESSNA,A-188B,1.0
CESSNA,A150K,2.0
CESSNA,A150L,1.0
CESSNA,A150M,0.0
CESSNA,A185,4.0
CESSNA,A185E,2.0
CESSNA,A185F,30.0
CESSNA,A188,12.0
CESSNA,A188A,2.0
CESSNA,A188B,11.0
CESSNA,C 680,0.0
CESSNA,C-182,0.0
CESSNA,C172,0.0
CESSNA,C175A,1.0
CESSNA,C182,4.0
CESSNA,C185F,0.0
CESSNA,C208B,0.0
CESSNA,C421B,1.0
CESSNA,CE-208,1.0
CESSNA,CE-560,0.0
CESSNA,CJ1,0.0
CESSNA,Citation 500,0.0
CESSNA,F-172,4.0
CESSNA,F150,9.0
CESSNA,F152,0.0
CESSNA,F172,4.0
CESSNA,F172N,1.0
CESSNA,F177RG,0.0
CESSNA,F182 - Q,0.0
CESSNA,FA150,1.0
CESSNA,FRA150,1.0
CESSNA,L-19E,2.0
CESSNA,L19,0.0
CESSNA,L19 - A,1.0
CESSNA,LC-126C,0.0
CESSNA,LC41,0.0
CESSNA,LC41-550FG,0.0
CESSNA,LC42-550FG,0.0
CESSNA,M337B,3.0
CESSNA,O 1E,2.0
CESSNA,O1 - A,0.0
CESSNA,P172D,1.0
CESSNA,P206,11.0
CESSNA,P206B,4.0
CESSNA,P206C,0.0
CESSNA,P206D,0.0
CESSNA,P210,19.0
CESSNA,P210 - N,2.0
CESSNA,P210N,45.0
CESSNA,P210R,1.0
CESSNA,P337G,1.0
CESSNA,P337H,3.0
CESSNA,R172,7.0
CESSNA,R172E,2.0
CESSNA,R172K,17.0
CESSNA,R182,18.0
CESSNA,R182RG,0.0
CESSNA,S550,5.0
CESSNA,T-210,0.0
CESSNA,T-50,2.0
CESSNA,T182,4.0
CESSNA,T182 - T,2.0
CESSNA,T182T,15.0
CESSNA,T188,1.0
CESSNA,T188C,1.0
CESSNA,T206,7.0
CESSNA,T206G,3.0
CESSNA,T206H,36.0
CESSNA,T207,4.0
CESSNA,T207 - A,7.0
CESSNA,T207A,30.0
CESSNA,T210,36.0
CESSNA,T210 - F,0.0
CESSNA,T210 - H,0.0
CESSNA,T210 - L,0.0
CESSNA,T210F,7.0
CESSNA,T210G,3.0
CESSNA,T210H,0.0
CESSNA,T210J,1.0
CESSNA,T210K,4.0
CESSNA,T210L,21.0
CESSNA,T210M,27.0
CESSNA,T210N,28.0
CESSNA,T210R,2.0
CESSNA,T240,2.0
CESSNA,T303,13.0
CESSNA,T310,2.0
CESSNA,T310Q,6.0
CESSNA,T310R,19.0
CESSNA,T337,4.0
CESSNA,T337B,0.0
CESSNA,T337C,1.0
CESSNA,T337G,14.0
CESSNA,TP206A,0.0
CESSNA,TP206B,0.0
CESSNA,TR182,15.0
CESSNA,TU206,33.0
CESSNA,TU206 - G,4.0
CESSNA,TU206B,3.0
CESSNA,TU206C,7.0
CESSNA,TU206E,0.0
CESSNA,TU206F,9.0
CESSNA,TU206G,23.0
CESSNA,U206,49.0
CESSNA,U206 - G,8.0
CESSNA,U206A,0.0
CESSNA,U206B,0.0
CESSNA,U206C,8.0
CESSNA,U206D,0.0
CESSNA,U206E,9.0
CESSNA,U206F,46.0
CESSNA,U206G,42.0
CESSNA,Unknown,2.0
CESSNA AIRCRAFT,172,2.0
CESSNA AIRCRAFT,172A,4.0
CESSNA AIRCRAFT,177B,4.0
CESSNA AIRCRAFT,182P,4.0
CESSNA AIRCRAFT,210M,5.0
CESSNA AIRCRAFT,A188,1.0
CESSNA AIRCRAFT,T188,2.0
CESSNA AIRCRAFT,T210L,1.0
CESSNA AIRCRAFT,U206F,1.0
CESSNA AIRCRAFT CO,162,5.0
CESSNA AIRCRAFT CO,E162,1.0
CESSNA AIRCRAFT CO,LC41-550FG,2.0
CESSNA AIRCRAFT CO,LC42-550FG,2.0
CESSNA AIRCRAFT COMPANY,152,2.0
CESSNA AIRCRAFT COMPANY,172R,2.0
CESSNA AIRCRAFT COMPANY,210L,2.0
CESSNA AIRCRAFT COMPANY,441,3.0
CESSNA AIRCRAFT COMPANY,560 XL,0.0
CESSNA AIRCRAFT COMPANY,CESSNA 152,2.0
CESSNA AIRCRAFT COMPANY,CESSNA 525B,0.0
CESSNA AIRCRAFT COMPANY,CESSNA U 206 G,0.0
CESSNA AIRCRAFT COMPANY,T210N,2.0
CESSNA Aircraft,162,2.0
CESSNA ECTOR,305,0.0
CESSNA ECTOR,305A,1.0
CESSNA REIMS,F152,1.0
CESSNA/AIR REPAIR INC,305F,0.0
CESSNA/WEAVER,305 - E,0.0
CGS,HAWK,2.0
CGS AVIATION,HAWK AERO II,1.0
CGS AVIATION LLC,HAWK ARROW II SLSA,2.0
CHAD LEWIS,KITFOX SUPER SPORT,0.0
CHALLENGER,II,2.0
CHAMBERLAIN GERALD,ESCAPADE,1.0
CHAMBERLIN VICTOR WAYNE,MINIMAX,1.0
CHAMPION,7AC,2.0
CHAMPION,7ACA,0.0
CHAMPION,7BCM,3.0
CHAMPION,7EC,2.0
CHAMPION,7EC-703,0.0
CHAMPION,7ECA,14.0
CHAMPION,7FC,3.0
CHAMPION,7GC,0.0
CHAMPION,7GCAA,4.0
CHAMPION,7GCB,0.0
CHAMPION,7GCBA,0.0
CHAMPION,7GCBC,6.0
CHAMPION,7HC,1.0
CHAMPION,7KCAB,6.0
CHAMPION,8KCAB,8.0
CHAMPION,AERONCA 7AC,3.0
CHAMPION,AERONCA 7HC,0.0
CHANCE VOUGHT,F4U 4,0.0
CHANCE VOUGHT,F4U 5,0.0
CHANCEY GERRY M,RV-12,0.0
CHAPEL ROBERT B,AERIAL,0.0
CHAPMAN,T-BIRD II,1.0
CHAPMAN MARK A,TRIKE,1.0
CHARLAND,VORTEX,1.0
CHARLES A BRAZIL,MTO SPORT,1.0
CHARLES C MENGER JR,SAFARI 400,0.0
CHARLES D WALKER,WALKER CURTISS JN4D,1.0
CHARLES J NORRIS,ARION LIGHTNING,0.0
CHARLES R KYLE,ZENITH STOL CH 701,0.0
CHATHAM ROBERT M,RV6-A,0.0
CHAUDOIN GEORGE S,RV 10,0.0
CHEUNG DAVID S,VANS RV6,0.0
CHICCO,QUICKSILVER SPORT II,2.0
CHICCO MIGUEL E,QUICKSILVER SPORT II,2.0
CHILDS MICHAEL  A,ROTORWAY EXEC 162-F,0.0
CHISTOV,CHALLENGER,0.0
CHR International,Safari 400,1.0
CHRISTEN INDUSTRIES INC,A 1,1.0
CHRISTEN INDUSTRIES INC,A-1,4.0
CHRISTEN INDUSTRIES INC,PITTS S,2.0
CHRISTEN INDUSTRIES INC,PITTS S 2B,0.0
CHRISTEN INDUSTRIES INC,PITTS S-1T,1.0
CHRISTEN INDUSTRIES INC,PITTS S-2B,2.0
CHRISTEN INDUSTRIES INC,PITTS S-2S,0.0
CHRISTENSEN STEVE,WHEELER EXPRESS,3.0
CHRISTIANSEN DON E DO,RV-4,1.0
CHRISTOPHER,VANS RV-4,0.0
CHRISTOPHER JON BROWN,STOL CH750,0.0
CHRISTOPHER LORD,ELA 07 SCORPION,1.0
CHRISTOPHER LORD,ELA ECLIPSE 10,1.0
CHRISTOPHER P GAGE,SHORTFIELD EXPLORER,0.0
CHRISTOPHER TOM,KITFOX  5,0.0
CIRRUS,SF50,0.0
CIRRUS,SR-22,10.0
CIRRUS,SR20,28.0
CIRRUS,SR22,46.0
CIRRUS,SR22 - NO SERIES,0.0
CIRRUS,SR22T,2.0
CIRRUS DESIGN,SR20,2.0
CIRRUS DESIGN CORP,SF50,0.0
CIRRUS DESIGN CORP,SR,0.0
CIRRUS DESIGN CORP,SR 22,4.0
CIRRUS DESIGN CORP,SR-20,0.0
CIRRUS DESIGN CORP,SR-22,4.0
CIRRUS DESIGN CORP,SR20,41.0
CIRRUS DESIGN CORP,SR22,144.0
CIRRUS DESIGN CORP,SR22 GTS G3,1.0
CIRRUS DESIGN CORP,SR22T,17.0
CIRRUS DESIGN CORP.,SR20,2.0
CIRRUS DESIGN CORP.,SR22,2.0
CIRRUS DESIGN CORP.,SR22T,4.0
CIRRUS DESIGN CORPORATION,CIRRUS SR20,0.0
CIRRUS DESIGN CORPORATION,SR-22,2.0
CIRRUS DESIGN CORPORATION,SR22T,0.0
CISMOWSKI,TIERRA II,2.0
CITABRIA,7GCBC,1.0
CLABAUGH ROBERT R,BARRACUDA,1.0
CLARK,1000,1.0
CLARK,RV-9A,1.0
CLARK JAMES T,VANS RV8,1.0
CLASSIC AIRCRAFT CORP,WACO,0.0
CLASSIC AIRCRAFT CORP,WACO YMF,0.0
CLASSIC AIRCRAFT CORP,WACO YMF5,0.0
CLAUS RODNEY L,CHRISTEN EAGLE II,2.0
CLAYHOLD,SPORTSMAN GS-2,0.0
CLAYTON GERALD H,GLASTAR GS-1,2.0
CLEM WILLIAM B III,DOMINATOR GYROCOPTER,0.0
CLEVELAND ALLAN B,NIEUPORT 11#,1.0
CLEVENGER JIMMIE B,PITTS S 1S,0.0
CLIFF,STARDUSTER II SA300,2.0
CLIFFORD E MASSEY,AR-1,0.0
CLIFTON,BREEZY,0.0
CLOPTON AERO LLC,AEROCOMP COMPAIR 7SL,0.0
CLOUD JEFFREY FERRELL,LONG EZ,0.0
CO Z,COZY,1.0
CO-Z DEVELOPMENT CORP,COZY MARK IV,0.0
COBALT AIRCRAFT INDUSTRIES INC,Co50 VALKYRIE,0.0
CODY HAWKINS,JA30 SUPERSTOL,0.0
COLE PAUL B,CHALLENGER I,1.0
COLLINS,RV6A,1.0
COLLINS,ZENITH STOL CH 701,0.0
COLLINS ROBERT S,JUST ACFT HIGHLANDER,1.0
COLONIAL,C 1,1.0
COLT BALLOONS,160A,3.0
COLUMBIA,LC41,0.0
COLUMBIA,LC41-550FG,0.0
COLUMBIA AIRCRAFT MFG,LC41,0.0
COLUMBIA AIRCRAFT MFG,LC41 550FG,5.0
COLUMBIA AIRCRAFT MFG,LC41-550FG,2.0
COLUMBIA AIRCRAFT MFG,LC42 550FG,0.0
COLUMBIA AIRCRAFT MFG,LC42-550FG,0.0
COLUMBIA AIRCRAFT Mfg,LC41,2.0
COLYAER SL,FREEDOM,2.0
COMBS DALE B,RV-4,0.0
COMBS EARL W,KITFOX SPEEDSTER,1.0
COMCO IKARUS,IKARUS C42,2.0
COMMANDER,114,4.0
COMMANDER AIRCRAFT CO,114,0.0
COMMANDER AIRCRAFT CO,114TC,0.0
COMMONWEALTH,185,0.0
COMP AIR,CA-8,1.0
COMP AIR,CA9,7.0
CONCANNON MILTON,RADIAL ROC,2.0
CONDOR,CONDOR,0.0
CONDOR SOUTHERN POWERED PARACH,RAPTOR,1.0
CONE JAMES A,RV-6A,1.0
CONNER LEROY,RV6A,0.0
CONRAD THEODORE J,THORP T-18,0.0
CONSOLIDATED  AERONAUTICS INC.,LAKE LA-4,0.0
CONSOLIDATED AERONAUTICS,LAKE LA4-200,0.0
CONSOLIDATED AERONAUTICS INC,LAKE MODEL 250,1.0
CONSOLIDATED AERONAUTICS INC.,LAKE LA 4,2.0
CONSOLIDATED AERONAUTICS INC.,LAKE LA 4 200,0.0
CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,4.0
CONSOLIDATED VULTEE,BT 15,0.0
CONSOLIDATED VULTEE,BT-13A,2.0
CONSOLIDATED VULTEE,BT13,0.0
CONSTRUCCIONES AERONAUTICAS SA,C-212-CC,0.0
CONSTRUCCIONES AERONAUTICAS SA,C.A.S.A. 1.131,0.0
CONSTRUCCIONES AERONAUTICAS SA,CASA-212,2.0
CONTINENTAL COPTERS,TOMCAT MK6B,1.0
CONTINENTAL COPTERS INC,47G,0.0
CONTINENTAL COPTERS INC,TOMCAT MK6C,1.0
CONTINENTAL COPTERS INC.,47G2,2.0
CONTINENTAL COPTERS INC.,TOMCAT MK5A,1.0
CONTINENTAL COPTERS INC.,TOMCAT MK6B,1.0
CONVAIR,340-71,0.0
CONVAIR,440,0.0
CONVAIR,440 - NO SERIES,2.0
CONVAIR,CV-580,3.0
CONWAY PHILIP J,Glasair Super II SFT,2.0
COOK,SONEX,0.0
COOK,Smith Aviation Repli,2.0
COOPER MICHAEL C,RV 8A,2.0
"COOPER, DAVID W.",CHALLENGER II,1.0
CORBEIL SHAWN,CORBEIL SHAWN SER VI,0.0
CORBEN BABY ACE,D,0.0
CORNELL W F/SAHAKIAN J A JR,GILES 202 (G202),1.0
CORNETT STEVEN M,GLASTAR,0.0
CORNFORD CRAIG H,MUSTANG II,1.0
COSENTINO GAREY A,PEGASUS,1.0
COSMOS,PHASE 2,0.0
COSMOS,PHASE 3,1.0
COSMOS,PHASE II,1.0
COSMOS,PHASE III,1.0
COSMOS PHASE II,PHASE II 582,0.0
COSTRUZIONI AERONAUTICHE TECNA,ASTORE,0.0
COSTRUZIONI AERONAUTICHE TECNA,P2002 SIERRA,1.0
COSTRUZIONI AERONAUTICHE TECNA,P2004,0.0
COSTRUZIONI AERONAUTICHE TECNA,P2004 BRAVO,3.0
COSTRUZIONI AERONAUTICHE TECNA,P2006,0.0
COSTRUZIONI AERONAUTICHE TECNA,P2006T,0.0
COSTRUZIONI AERONAUTICHE TECNA,P2008,1.0
COSTRUZIONI AERONAUTICHE TECNA,P2010,0.0
COSTRUZIONI AERONAUTICHE TECNA,P2012 TRAVELLER,0.0
COSTRUZIONI AERONAUTICHE TECNA,P92 EAGLET,1.0
COSTRUZIONI AERONAUTICHE TECNA,P92 ECHO CLASSIC,0.0
COSTRUZIONI AERONAUTICHE TECNA,P92 ECHO SUPER,2.0
COSTRUZIONI AERONAUTICHE TECNA,P92 Eaglet,0.0
COSTRUZIONI AERONAUTICHE TECNA,P92 TAIL DRAGGER,1.0
COTE JAMES,RANS S 6S,0.0
COTTER,STITS PLAYMATE,2.0
COTTON GALEN M,HELICYCLE,0.0
COULTER HUGH CLARKE,PULSAR XP SERIES I,0.0
COVELL KEVIN SCOTT,VANS RV-4,2.0
COVEY,Quickie,2.0
COX,BEDE BD-5G,1.0
COX,BUSBY MUSTANG,2.0
COX,PA 18,0.0
COX JOHN WILEY,KITFOX III,0.0
COX WILLIAM M,BEARHAWK,3.0
COYOTE,S-6ES,1.0
COZY,Mark IV,2.0
CRAIG A REED,STARDUSTER II,0.0
CRAIG C WALLS,SNOWYRIVER SPECIAL,1.0
CRAIG D CARTER,STOL CH 750,0.0
CRAIG W SHERMAN,SUPER GLASAIR TT,0.0
CRAIN JAC A,BD-4,1.0
CRAWFORD,PRECEPTOR ULTRA PUP,1.0
CRAWFORD,RV-7,0.0
CRAWFORD ALAN R,GLASAIR II,1.0
CRAWFORD JAMES R,MU-582 DRIFTER,0.0
CREECH JERRY,CREECH JERRY CH 701,1.0
CREEK MICHEL W,BEARHAWK,1.0
CRIQUET AVIATION BOGOTA COLUMB,STORCH FI-156,1.0
CROFT ROBERT C,KITFOX SUPER SPORT,0.0
CROMAN,SH-3H,1.0
CROMAN CORPORATION,SH-3H,0.0
CROSLEY,VANS RV-8,1.0
CROSS DAVID L,GLASAIR III,1.0
CROW,MUSTANG II,1.0
CROWDER MICHAEL H,SONEX,1.0
CSP LEASING LLC,CAVALON,0.0
CSP Leasing LLC,Cavalon,1.0
CUB CRAFTER,CC11-160,0.0
CUB CRAFTERS,CC18,0.0
CUB CRAFTERS,CC18 180,1.0
CUB CRAFTERS,CC18-180,2.0
CUB CRAFTERS,PA18,2.0
CUB CRAFTERS,PA18 150,1.0
CUB CRAFTERS INC,CC11 100,0.0
CUB CRAFTERS INC,CC11-100,0.0
CUB CRAFTERS INC,CC18,0.0
CUB CRAFTERS INC,CC18-180,1.0
CUB CRAFTERS INC,CC19,0.0
CUB CRAFTERS INC,CC19-180,0.0
CUB CRAFTERS INC,CC19-215,0.0
CUBCRAFTERS,CC11-160,0.0
CUBCRAFTERS INC,CC11,0.0
CUBCRAFTERS INC,CC11-160,8.0
CULLIS,ULTRACRUISER SPORT,0.0
CULP JOHN S,CULPS SPECL SOPWITH,0.0
CULVER,LFA,1.0
CULVER,PQ 14A,1.0
CULVER GLENN,KITFOX III,0.0
CUPAIOLE,RV-6A,1.0
CURNUTT ELTON E,SKY RANGER B,2.0
CURTIS JOHN P,SEA REY,2.0
CURTIS LUND,VORTEX,0.0
CURTISS,JN4,2.0
CURTISS WRIGHT,C-46F,0.0
CURTISS WRIGHT,P 40B,0.0
CURTISS WRIGHT,P-40E,0.0
CURTISS WRIGHT,P-40N,1.0
CURTISS WRIGHT,P40M,1.0
CURTISS WRIGHT,TRAVEL AIR,3.0
CURTISS WRIGHT,TRAVEL AIR 4000,2.0
CURTISS WRIGHT,Travel Air,0.0
CZECH,SPORT CRUISER,1.0
CZECH AIRCRAFT WORKS,SportCruiser,0.0
CZECH AIRCRAFT WORKS SPOL SRO,MERMAID,1.0
CZECH AIRCRAFT WORKS SPOL SRO,SPORTCRUISER,5.0
CZECH SPORT AIRCRAFT A S,SPORTCRUISER,3.0
CZECH SPORT AIRCRAFT AS,PIPER SPORT,7.0
CZECH SPORT AIRCRAFT AS,Piper Sport,1.0
CZECH SPORTPLANES SRO,DYNAMIC,0.0
CZECH SPORTPLANES SRO,DYNAMIC WT9,0.0
Cable-breigler,BG-12BD,1.0
Cabri,G2,0.0
Cabrinha/free Spirit,412,0.0
Cady,LONG-EZ,2.0
Caldwell,Glasair II,1.0
Calhoun,RV-4,1.0
Calkins,KITFOX 5,0.0
Callahan,Rebel,1.0
Callahan,Rotorway Exec 90,0.0
Callair,A,0.0
Callair,A-3,2.0
Callair,A-5T,1.0
Callair,A-9,6.0
Callair,A-9A,1.0
Callair,A-9B,1.0
Callair,A2A,2.0
Callair,A9-B,0.0
Callair,A9B,1.0
Callair,B1A,1.0
Calstar 1,Eurocopter BO-105S,0.0
Calvart,HP-18,1.0
Calypso,Unknown,1.0
Camair,480,1.0
Camair Aircraft Corp.,480,3.0
Cameron,0-77,1.0
Cameron,084,0.0
Cameron,105,2.0
Cameron,77,1.0
Cameron,A 210,1.0
Cameron,A 250,2.0
Cameron,A 315,9.0
Cameron,A-140,7.0
Cameron,A-210,9.0
Cameron,A-250,28.0
Cameron,A-275,0.0
Cameron,A-400,3.0
Cameron,A105,1.0
Cameron,AIR COMMAND,1.0
Cameron,AX-8,2.0
Cameron,BIEU/V-65,1.0
Cameron,CAN-56,3.0
Cameron,CIGPACK-80,2.0
Cameron,D-50,0.0
Cameron,ET-90,3.0
Cameron,HAB-N90,1.0
Cameron,N-105,5.0
Cameron,N-120,4.0
Cameron,N-145,6.0
Cameron,N-77,0.0
Cameron,N-90,1.0
Cameron,N105,0.0
Cameron,N120,3.0
Cameron,O-105,4.0
Cameron,O-65,2.0
Cameron,O-77,1.0
Cameron,O-84,1.0
Cameron,R-420,2.0
Cameron,V-77,16.0
Cameron,V-90,1.0
Cameron,VIVA 7,1.0
Cameron,ZL-60,1.0
Cameron Ballon,0-77,2.0
Cameron Balloon,A-210,8.0
Cameron Balloon,N-77,1.0
Cameron Balloons,A-105,1.0
Cameron Balloons,A-210,12.0
Cameron Balloons,A-250,5.0
Cameron Balloons,C-100,3.0
Cameron Balloons,N-180,0.0
Cameron Balloons,N-210,6.0
Cameron Balloons,N90,1.0
Cameron Balloons,O-70,3.0
Cameron Balloons,O-77,2.0
Cameron Balloons,O-90,1.0
Cameron Balloons,Shuttle 90,2.0
Cameron Balloons,V-77,1.0
Cameron Balloons,Z-105,4.0
Cameron Balloons,Z-120,1.0
Cameron Balloons,Z-150,2.0
Cameron Balloons,Z-77,1.0
Cameron Balloons,Z-90,2.0
Cameron Balloons US,N-77,1.0
Cameron Balloons Us,N-145,7.0
Camillo Annaloro,C A SPCL QUICKS,1.0
Campbell,Long EZ,0.0
Campbell W/smiley J,Execytive 162F,1.0
Canadair,CL 600,0.0
Canadair,CL 600 2A12,0.0
Canadair,CL 600 2B16,14.0
Canadair,CL-44,0.0
Canadair,CL-44D4,0.0
Canadair,CL-600,3.0
Canadair,CL-600 CHALLENGER,0.0
Canadair,CL-600-1A11,4.0
Canadair,CL-600-2A12,6.0
Canadair,CL-600-2B16,0.0
Canadair,CL-600-2B19,44.0
Canadair,CL-600-2C10,0.0
Canadair,CL-600S,0.0
Canadair,CL-65,0.0
Canadair,CL44D4,0.0
Canadair,CL600,1.0
Canadair,CL600 1A11,0.0
Canadair,CL600-2A12,0.0
Canadair,CL600-2B16,3.0
Canadair,CL600-2B19,3.0
Canadair,CL600-2B19-200,0.0
Canadair,CL=601-3A,2.0
Canadair,CRJ,0.0
Canadair,CRJ-100,4.0
Canadair,CRJ-600,0.0
Canadair,CT-133,2.0
Canadair,Challenger 604,5.0
Canadair,F-86,1.0
Canadair,F-86E,1.0
Canadair,F-86E MK.6,4.0
Canadair,F86,1.0
Canadair,T-33,2.0
Canadair,T33,1.0
Canadian Car & Foundry,HARVARD MARK IV,1.0
Canadian Car & Foundry,HARVARD MK IV,3.0
Canadian Car & Foundry,Harvard MK IV,0.0
Canadian Car & Foundry,Mark IV,0.0
"Canard, Inc.",LONG EZ,0.0
Cannon,STARDUSTER II,0.0
Cano,AVID FLYER,0.0
Cantlon,Starduster Too SA300,0.0
Canton,RUTAN LONG,1.0
Canup,Titan Tornado S,0.0
Cap,232,0.0
Capella,XLS,0.0
Capella,XS,1.0
Capella Aircraft Corporation (,FW2TDXLS,1.0
Capetown Builders,GLASAIR RG,0.0
Caproni Vizzola Cos. Aero.,A-21,0.0
Caproni Vizzola Cos. Aero.,Calif A-21,1.0
Capstaff,CHALLENGER II,2.0
Carbon,Cub,2.0
Carey Glassair,SH2,0.0
Carlisle,Comp Air 6,0.0
Carlson,CA-8,1.0
Carlson,CRIQUET,1.0
Carlson,Lancair Propjet,1.0
Carlson,MIDGET MUSTANG,1.0
Carlson,Quickie Q2,0.0
Carlson,SPARROW II,0.0
Carlson Aircraft,COMMANDER ELITE,1.0
Carlson Aircraft,Sparrow,1.0
Carlstrom,Long EZ,2.0
Carlton M. Cadwell,Lancair IV-P,3.0
Carnes,OSPREY 2,1.0
Caron,Seawind,2.0
Carothers,MONOPLANE,1.0
Carothers,Zenith CH701,2.0
Carpenter,Lancair 320,0.0
Carpenter,RAF 2000,0.0
Carpenter Bj/carpenter Sa,Glasair II-S FT,3.0
Carriere,RW-152 Scorpion II,0.0
Carris,Avid Aircraft,2.0
Carrison-seiman,SCHUKERT D-1,0.0
Carson,PIEL EMERAUDE CP305,2.0
Carter,LONG-EZ,2.0
Carter,MONNETT-MONI,1.0
Carter,PITTS SPECIAL S-1,0.0
Carter,QUICKEE 2,0.0
Carter,SPACEWALKER II,2.0
Carter-jones,Volmer Sportsman,0.0
Cartercopter,MODEL 1,0.0
Cartercopter,Prototype,0.0
Cartercopter Llc,CarterCopter,0.0
Cartercopters,CARTERCOPTER,0.0
Cartercopters,Cartercopter,0.0
Carver,RAF 2000 GTX SE,0.0
Casa,1.131E,0.0
Casa,2.111,2.0
Casa,212,23.0
Casa,212-200,1.0
Casa,212-200 (CASA 212),0.0
Casa,212-200-CC,6.0
Casa,212-A,5.0
Casa,235,47.0
Casa,BU-131,0.0
Casa,C-212,0.0
Casa,C-212-200,0.0
Casa,C-212-CC,28.0
Casa,C-212-CE,5.0
Casa,C212,0.0
Casa,SAC-212-200,0.0
Cassuit,11M,1.0
Cassult Racer,IIIM,0.0
Cassutt,111M,1.0
Cassutt,3-M,1.0
Cassutt,CASSUTT,0.0
Cassutt,II,0.0
Cassutt,III,1.0
Cassutt,III M,1.0
Cassutt,III M SPORT,0.0
Cassutt,IIIM,1.0
Cassutt,MARK II,1.0
Cassutt,SPORT RACER,0.0
Casten,Rans S-10,1.0
Castle,GLASAIR II-SRG,1.0
Catchot,HAULER,1.0
Catchot Angus,Kitfox IV,0.0
Cathaway,RV-6A,1.0
Catto,ACRO X,0.0
Cavalier,SA102.5,2.0
Cavalier Aircraft Corp.,F51D Mustang,1.0
Cawood,FISHER CLASSIC,1.0
Caywood,Long-Ez,0.0
Cecil,THORP T-18,1.0
"Cecil, Richard C.",STARDUSTER II,0.0
Cedric Lewellen,SONERIA II,1.0
Centrair,101,0.0
Centrair,101A,0.0
Centrair,101C,0.0
Centrair,ASW20F,1.0
Centrair,PEGASE 101A,1.0
Centrair,PEGASUS 101B,2.0
Centrair,SCHLEICHER ASW-20,0.0
Central Copters,Lancair IV-P,0.0
Ceridono,Vegas Sport Flyer,1.0
Cesna,172H,3.0
Cessna,0-1A,0.0
Cessna,120,54.0
Cessna,140,140.0
Cessna,140A,14.0
Cessna,145,1.0
Cessna,150,366.0
Cessna,150 G,1.0
Cessna,150 II,1.0
Cessna,150 L,0.0
Cessna,150-F,2.0
Cessna,150-G,0.0
Cessna,150-H,2.0
Cessna,150-J,3.0
Cessna,150-K,0.0
Cessna,150-L,3.0
Cessna,150-M,0.0
Cessna,150/HORTON STOL,1.0
Cessna,150A,10.0
Cessna,150B,11.0
Cessna,150C,13.0
Cessna,150D,18.0
Cessna,150E,40.0
Cessna,150F,141.0
Cessna,150G,149.0
Cessna,150H,153.0
Cessna,150J,142.0
Cessna,150K,59.0
Cessna,150K AEROBAT,0.0
Cessna,150L,304.0
Cessna,150M,289.0
Cessna,152,922.0
Cessna,152 II,7.0
Cessna,152(II),0.0
Cessna,152-II,4.0
Cessna,152A,2.0
Cessna,152B,0.0
Cessna,152C,2.0
Cessna,152F,1.0
Cessna,152II,15.0
Cessna,152K,1.0
Cessna,152L,0.0
Cessna,152M,1.0
Cessna,152TW,0.0
Cessna,152U,0.0
Cessna,15OF,0.0
Cessna,162,1.0
Cessna,165,0.0
Cessna,170,59.0
Cessna,170 B,0.0
Cessna,170-B,0.0
Cessna,170A,76.0
Cessna,170B,128.0
Cessna,172,748.0
Cessna,172 E,2.0
Cessna,172 F,1.0
Cessna,172 I,0.0
Cessna,172 K,0.0
Cessna,172 M,15.0
Cessna,172 N,2.0
Cessna,172 P,2.0
Cessna,172 PII,0.0
Cessna,172 RG,4.0
Cessna,172 RGII,0.0
Cessna,172 S,0.0
Cessna,172 SP,0.0
Cessna,172 Skyhawk,1.0
Cessna,172-A,1.0
Cessna,172-B,1.0
Cessna,172-F,0.0
Cessna,172-G,0.0
Cessna,172-H,1.0
Cessna,172-I,0.0
Cessna,172-K,0.0
Cessna,172-M,1.0
Cessna,172-N,2.0
Cessna,172-N-II,3.0
Cessna,172-P,4.0
Cessna,172-R,2.0
Cessna,172-RG,0.0
Cessna,172-RG II,2.0
Cessna,172-S,0.0
Cessna,172-SP,0.0
Cessna,172A,39.0
Cessna,172B,45.0
Cessna,172C,41.0
Cessna,172D,49.0
Cessna,172E,77.0
Cessna,172F,79.0
Cessna,172G,95.0
Cessna,172H,134.0
Cessna,172I,51.0
Cessna,172J,0.0
Cessna,172K,152.0
Cessna,172L,96.0
Cessna,172M,561.0
Cessna,172MM,0.0
Cessna,172N,835.0
Cessna,172N II,0.0
Cessna,172NII,0.0
Cessna,172P,527.0
Cessna,172P II,4.0
Cessna,172P ROBERTSON STOL,0.0
Cessna,172PC,0.0
Cessna,172PII,5.0
Cessna,172Q,9.0
Cessna,172R,28.0
Cessna,172RG,175.0
